fname,raw_text,text
33_bluemonkeys_kakamega.wav,"Outside, birds make incredibly sharp and tinny bird calls.",outside birds make incredibly sharp and tinny bird calls
33_bluemonkeys_kakamega.wav,Several Birds are chirping in a wooded area.,several birds are chirping in a wooded area
33_bluemonkeys_kakamega.wav,"Some birds are tweeting, chirping and whistling at various tones.",some birds are tweeting chirping and whistling at various tones
33_bluemonkeys_kakamega.wav,"Some birds are tweeting, chirping and whistling in various tones.",some birds are tweeting chirping and whistling in various tones
33_bluemonkeys_kakamega.wav,Some birds outside making incredibly sharp and quick bird calls.,some birds outside making incredibly sharp and quick bird calls
33_bluemonkeys_kakamega_cap_1.wav,"Outside, birds make incredibly sharp and tinny bird calls.",outside birds make incredibly sharp and tinny bird calls
33_bluemonkeys_kakamega_cap_2.wav,Several Birds are chirping in a wooded area.,several birds are chirping in a wooded area
33_bluemonkeys_kakamega_cap_3.wav,"Some birds are tweeting, chirping and whistling at various tones.",some birds are tweeting chirping and whistling at various tones
33_bluemonkeys_kakamega_cap_4.wav,"Some birds are tweeting, chirping and whistling in various tones.",some birds are tweeting chirping and whistling in various tones
33_bluemonkeys_kakamega_cap_5.wav,Some birds outside making incredibly sharp and quick bird calls.,some birds outside making incredibly sharp and quick bird calls
atmos_trainStation.wav,A musical chime is followed by the voice of a tinny announcer.,a musical chime is followed by the voice of a tinny announcer
atmos_trainStation.wav,A warning bell sounds and a woman talks over a loud speaker system in a public place.,a warning bell sounds and a woman talks over a loud speaker system in a public place
atmos_trainStation.wav,A warning bell sounds and a woman talks over a tannoy system in a public place.,a warning bell sounds and a woman talks over a tannoy system in a public place
atmos_trainStation.wav,A woman is speaking over an intercom system.,a woman is speaking over an intercom system
atmos_trainStation.wav,An intercom system intensifies the voice of a woman who is speaking through it.,an intercom system intensifies the voice of a woman who is speaking through it
atmos_trainStation_cap_1.wav,A musical chime is followed by the voice of a tinny announcer.,a musical chime is followed by the voice of a tinny announcer
atmos_trainStation_cap_2.wav,A warning bell sounds and a woman talks over a loud speaker system in a public place.,a warning bell sounds and a woman talks over a loud speaker system in a public place
atmos_trainStation_cap_3.wav,A warning bell sounds and a woman talks over a tannoy system in a public place.,a warning bell sounds and a woman talks over a tannoy system in a public place
atmos_trainStation_cap_4.wav,A woman is speaking over an intercom system.,a woman is speaking over an intercom system
atmos_trainStation_cap_5.wav,An intercom system intensifies the voice of a woman who is speaking through it.,an intercom system intensifies the voice of a woman who is speaking through it
Heavy Walking in the Evening.wav,A person is walking and two twigs are broken when they are stepped on.,a person is walking and two twigs are broken when they are stepped on
Heavy Walking in the Evening.wav,"Crickets chirp in the background as a person walks briskly, kicking a flimsy object around.",crickets chirp in the background as a person walks briskly kicking a flimsy object around
Heavy Walking in the Evening.wav,Crickets chirp in the background as a person walks quickly while kicking a flimsy object around.,crickets chirp in the background as a person walks quickly while kicking a flimsy object around
Heavy Walking in the Evening.wav,Someone steps on two twigs and breaks them while walking.,someone steps on two twigs and breaks them while walking
Heavy Walking in the Evening.wav,"crickets singing, someone walking, and a soda can being opened",crickets singing someone walking and a soda can being opened
Heavy Walking in the Evening_cap_1.wav,A person is walking and two twigs are broken when they are stepped on.,a person is walking and two twigs are broken when they are stepped on
Heavy Walking in the Evening_cap_2.wav,"Crickets chirp in the background as a person walks briskly, kicking a flimsy object around.",crickets chirp in the background as a person walks briskly kicking a flimsy object around
Heavy Walking in the Evening_cap_3.wav,Crickets chirp in the background as a person walks quickly while kicking a flimsy object around.,crickets chirp in the background as a person walks quickly while kicking a flimsy object around
Heavy Walking in the Evening_cap_4.wav,Someone steps on two twigs and breaks them while walking.,someone steps on two twigs and breaks them while walking
Heavy Walking in the Evening_cap_5.wav,"crickets singing, someone walking, and a soda can being opened",crickets singing someone walking and a soda can being opened
"a gentle breeze, wind 3.wav",An approaching wind storm coming from far away.,an approaching wind storm coming from far away
"a gentle breeze, wind 3.wav","The wind increases and whips around, blowing its way through an open window.",the wind increases and whips around blowing its way through an open window
"a gentle breeze, wind 3.wav","Winds gusts then die down, then pick back up getting more intense as time goes on.",winds gusts then die down then pick back up getting more intense as time goes on
"a gentle breeze, wind 3.wav","Winds gusts then die down, then pick pack up getting more intense as time goes on.",winds gusts then die down then pick pack up getting more intense as time goes on
"a gentle breeze, wind 3.wav",very strong wind with one lone step in the background,very strong wind with one lone step in the background
"a gentle breeze, wind 3_cap_1.wav",An approaching wind storm coming from far away.,an approaching wind storm coming from far away
"a gentle breeze, wind 3_cap_2.wav","The wind increases and whips around, blowing its way through an open window.",the wind increases and whips around blowing its way through an open window
"a gentle breeze, wind 3_cap_3.wav","Winds gusts then die down, then pick back up getting more intense as time goes on.",winds gusts then die down then pick back up getting more intense as time goes on
"a gentle breeze, wind 3_cap_4.wav","Winds gusts then die down, then pick pack up getting more intense as time goes on.",winds gusts then die down then pick pack up getting more intense as time goes on
"a gentle breeze, wind 3_cap_5.wav",very strong wind with one lone step in the background,very strong wind with one lone step in the background
a walk throught the woods 75bom.wav,A synthesizer making musical notes with some animal like sounds in the back ground.,a synthesizer making musical notes with some animal like sounds in the back ground
a walk throught the woods 75bom.wav,Someone is playing a suspenseful type music that would make for a good part in a movie.,someone is playing a suspenseful type music that would make for a good part in a movie
a walk throught the woods 75bom.wav,"With wildlife in the background, a musical soundtrack is playing.",with wildlife in the background a musical soundtrack is playing
a walk throught the woods 75bom.wav,a synthesizer making music with some animal like sounds in the back ground.,a synthesizer making music with some animal like sounds in the back ground
a walk throught the woods 75bom.wav,musical soundtrack playing with wildlife in the background,musical soundtrack playing with wildlife in the background
a walk throught the woods 75bom_cap_1.wav,A synthesizer making musical notes with some animal like sounds in the back ground.,a synthesizer making musical notes with some animal like sounds in the back ground
a walk throught the woods 75bom_cap_2.wav,Someone is playing a suspenseful type music that would make for a good part in a movie.,someone is playing a suspenseful type music that would make for a good part in a movie
a walk throught the woods 75bom_cap_3.wav,"With wildlife in the background, a musical soundtrack is playing.",with wildlife in the background a musical soundtrack is playing
a walk throught the woods 75bom_cap_4.wav,a synthesizer making music with some animal like sounds in the back ground.,a synthesizer making music with some animal like sounds in the back ground
a walk throught the woods 75bom_cap_5.wav,musical soundtrack playing with wildlife in the background,musical soundtrack playing with wildlife in the background
FP_Diesel_Tractor_Driving.wav,"A small engine first must idle, then rev, then slow to idle again.",a small engine first must idle then rev then slow to idle again
FP_Diesel_Tractor_Driving.wav,"A small engine idles, then revs, then slows to idle again.",a small engine idles then revs then slows to idle again
FP_Diesel_Tractor_Driving.wav,An engine is being revved and idled in an irregular pattern before purring into action.,an engine is being revved and idled in an irregular pattern before purring into action
FP_Diesel_Tractor_Driving.wav,An engine is being revved up and idled in an irregular pattern before purring into action.,an engine is being revved up and idled in an irregular pattern before purring into action
FP_Diesel_Tractor_Driving.wav,engine noise slowly accelerating with muffled buffering sounds,engine noise slowly accelerating with muffled buffering sounds
FP_Diesel_Tractor_Driving_cap_1.wav,"A small engine first must idle, then rev, then slow to idle again.",a small engine first must idle then rev then slow to idle again
FP_Diesel_Tractor_Driving_cap_2.wav,"A small engine idles, then revs, then slows to idle again.",a small engine idles then revs then slows to idle again
FP_Diesel_Tractor_Driving_cap_3.wav,An engine is being revved and idled in an irregular pattern before purring into action.,an engine is being revved and idled in an irregular pattern before purring into action
FP_Diesel_Tractor_Driving_cap_4.wav,An engine is being revved up and idled in an irregular pattern before purring into action.,an engine is being revved up and idled in an irregular pattern before purring into action
FP_Diesel_Tractor_Driving_cap_5.wav,engine noise slowly accelerating with muffled buffering sounds,engine noise slowly accelerating with muffled buffering sounds
earth_movement.wav,A blowing of a wind with high force,a blowing of a wind with high force
earth_movement.wav,A looming hum gets louder and louder then softer.,a looming hum gets louder and louder then softer
earth_movement.wav,A wind with a high force is blowing.,a wind with a high force is blowing
earth_movement.wav,As the looming hum was getting louder and louder it softens.,as the looming hum was getting louder and louder it softens
earth_movement.wav,heavy and fast wind going past with vibration sounds.,heavy and fast wind going past with vibration sounds
earth_movement_cap_1.wav,A blowing of a wind with high force,a blowing of a wind with high force
earth_movement_cap_2.wav,A looming hum gets louder and louder then softer.,a looming hum gets louder and louder then softer
earth_movement_cap_3.wav,A wind with a high force is blowing.,a wind with a high force is blowing
earth_movement_cap_4.wav,As the looming hum was getting louder and louder it softens.,as the looming hum was getting louder and louder it softens
earth_movement_cap_5.wav,heavy and fast wind going past with vibration sounds.,heavy and fast wind going past with vibration sounds
Akacie_AFW2007_09.wav,A few bubbles float around in a pond.,a few bubbles float around in a pond
Akacie_AFW2007_09.wav,Rain water is pouring down through a gutter.,rain water is pouring down through a gutter
Akacie_AFW2007_09.wav,Water is gurgling in a fountain while songbirds are singing.,water is gurgling in a fountain while songbirds are singing
Akacie_AFW2007_09.wav,Water trickles over some rocks on the bottom of a stream.,water trickles over some rocks on the bottom of a stream
Akacie_AFW2007_09.wav,water gurgling in a fountain with songbirds singing.,water gurgling in a fountain with songbirds singing
Akacie_AFW2007_09_cap_1.wav,A few bubbles float around in a pond.,a few bubbles float around in a pond
Akacie_AFW2007_09_cap_2.wav,Rain water is pouring down through a gutter.,rain water is pouring down through a gutter
Akacie_AFW2007_09_cap_3.wav,Water is gurgling in a fountain while songbirds are singing.,water is gurgling in a fountain while songbirds are singing
Akacie_AFW2007_09_cap_4.wav,Water trickles over some rocks on the bottom of a stream.,water trickles over some rocks on the bottom of a stream
