Name,val_obj,eval_Txt2Audio_mAP,eval_Audio2Txt_R1,eval_Audio2Txt_R10,eval_Audio2Txt_R5,eval_Audio2Txt_mAP,eval_Txt2Audio_R1,eval_Txt2Audio_R10,eval_Txt2Audio_R5,val_Audio2Txt_R1,val_Audio2Txt_R10,val_Audio2Txt_R5,val_Audio2Txt_mAP,val_Txt2Audio_R1,val_Txt2Audio_R10,val_Txt2Audio_R5,val_Txt2Audio_mAP
wise-sweep-7,2.53548,0.212237336,0.025645933,0.177033493,0.10507177,0.088367662,0.119808612,0.465837321,0.330909091,0.023732057,0.172631579,0.102583732,0.084419154,0.109473684,0.458564593,0.324976077,0.201992253
icy-sweep-15,2.40817536,0.211606061,0.026411483,0.175311005,0.108899522,0.089671148,0.116363636,0.475980861,0.333971292,0.027559809,0.18430622,0.11062201,0.092101618,0.119425837,0.484976077,0.347368421,0.217145819
cool-sweep-30,2.451281721,0.211273639,0.026028708,0.175502392,0.102583732,0.087064327,0.115980861,0.475215311,0.332822967,0.024880383,0.182200957,0.110430622,0.089931951,0.120382775,0.481339713,0.337990431,0.214663857
blooming-sweep-17,2.540984161,0.207094327,0.027177033,0.174354067,0.107942584,0.09100562,0.112727273,0.46430622,0.330334928,0.025454545,0.173014354,0.10277512,0.087573555,0.109282297,0.459904306,0.323636364,0.202588896
still-sweep-10,2.459266561,0.20647057,0.024688995,0.171866029,0.104880383,0.085419913,0.113301435,0.46354067,0.330334928,0.026985646,0.184688995,0.111961722,0.091913268,0.109856459,0.463157895,0.325741627,0.203544087
dashing-sweep-5,2.411877816,0.206138528,0.024114833,0.176076555,0.103157895,0.085669705,0.113492823,0.46430622,0.326124402,0.02430622,0.167464115,0.100669856,0.083697349,0.102009569,0.468133971,0.323253589,0.198724311
prime-sweep-21,2.43053851,0.20593909,0.024688995,0.175311005,0.101818182,0.086302119,0.113110048,0.465263158,0.326315789,0.02430622,0.176076555,0.10354067,0.087413382,0.110430622,0.473875598,0.332631579,0.206423483
breezy-sweep-32,2.462940104,0.205671072,0.025645933,0.172631579,0.106028708,0.088379965,0.118277512,0.448038278,0.323253589,0.025645933,0.17492823,0.101626794,0.086861016,0.109665072,0.453397129,0.31923445,0.200349358
glowing-sweep-41,2.40216,0.205633857,0.028516746,0.175311005,0.110430622,0.092900585,0.115215311,0.450909091,0.330143541,0.026602871,0.172440191,0.106602871,0.08804405,0.107368421,0.46277512,0.323062201,0.201660667
lunar-sweep-34,2.566251459,0.203019443,0.02277512,0.164210526,0.099521531,0.082090681,0.113110048,0.452440191,0.317129187,0.024688995,0.16937799,0.099138756,0.082794258,0.101244019,0.44784689,0.307751196,0.192923901
deft-sweep-47,2.449625532,0.202688236,0.027751196,0.173971292,0.105837321,0.089002127,0.115023923,0.45492823,0.31291866,0.02507177,0.163253589,0.100861244,0.082975773,0.11062201,0.460478469,0.321913876,0.200739121
distinctive-sweep-38,2.530101516,0.201626566,0.02277512,0.164401914,0.098181818,0.081314878,0.107368421,0.466028708,0.322296651,0.021244019,0.166507177,0.094545455,0.080236956,0.099521531,0.447655502,0.317129187,0.194066074
decent-sweep-39,2.461852435,0.201531025,0.023157895,0.16937799,0.099330144,0.082217589,0.111196172,0.449760766,0.317320574,0.022583732,0.17569378,0.101626794,0.085311081,0.108516746,0.451100478,0.318851675,0.19842728
confused-sweep-54,2.558079239,0.199529354,0.023732057,0.154832536,0.09492823,0.079009417,0.111196172,0.451674641,0.313875598,0.022966507,0.168803828,0.099521531,0.08195952,0.110430622,0.45722488,0.320574163,0.201059163
efficient-sweep-1,2.463930303,0.198217362,0.025263158,0.164593301,0.102583732,0.085070859,0.108708134,0.449760766,0.312344498,0.02507177,0.162296651,0.099330144,0.081509304,0.10277512,0.449760766,0.316363636,0.194043746
autumn-sweep-14,2.70152951,0.198189109,0.02277512,0.154449761,0.091674641,0.073931344,0.107942584,0.455119617,0.319043062,0.024497608,0.162296651,0.096076555,0.08117035,0.107751196,0.445933014,0.317320574,0.197567859
lilac-sweep-52,2.562606266,0.19756072,0.022583732,0.167272727,0.103349282,0.08285494,0.105645933,0.453397129,0.315598086,0.022392344,0.163827751,0.099138756,0.079974634,0.108133971,0.449569378,0.316937799,0.198263538
pious-sweep-8,2.573489388,0.197110276,0.021244019,0.158086124,0.092440191,0.075973798,0.105837321,0.459904306,0.315023923,0.021626794,0.164210526,0.094736842,0.075664692,0.102583732,0.442870813,0.310813397,0.193430774
graceful-sweep-56,2.688596455,0.196593074,0.026028708,0.166124402,0.099330144,0.083604086,0.109090909,0.444784689,0.307942584,0.023732057,0.164401914,0.099521531,0.083602795,0.113110048,0.446315789,0.313875598,0.199198982
olive-sweep-13,2.815479976,0.194596491,0.02277512,0.146985646,0.082870813,0.069830182,0.10507177,0.437511962,0.308133971,0.019521531,0.147942584,0.082679426,0.070186375,0.100861244,0.43291866,0.298755981,0.188515227
dry-sweep-6,2.653614214,0.192703425,0.02430622,0.156746411,0.091291866,0.076386117,0.103923445,0.446315789,0.305263158,0.02354067,0.167655502,0.101052632,0.080694084,0.099904306,0.442105263,0.306028708,0.189787651
sparkling-sweep-40,2.528388442,0.191097441,0.022009569,0.150430622,0.090143541,0.07419716,0.101818182,0.439808612,0.308516746,0.019330144,0.158277512,0.092440191,0.073048986,0.104880383,0.443827751,0.31215311,0.193762968
scarlet-sweep-59,2.914861372,0.188082099,0.020669856,0.148325359,0.086507177,0.07070464,0.102583732,0.428899522,0.301052632,0.017990431,0.14354067,0.086124402,0.067636136,0.10507177,0.433110048,0.298181818,0.191125997
woven-sweep-53,2.817203724,0.187244399,0.021435407,0.147751196,0.091291866,0.071765322,0.099138756,0.434641148,0.297990431,0.019138756,0.152535885,0.084784689,0.068094479,0.093397129,0.427177033,0.29492823,0.181529278
faithful-sweep-55,2.57239971,0.18369378,0.020095694,0.147559809,0.084976077,0.070133971,0.098755981,0.422966507,0.29645933,0.022966507,0.160382775,0.101244019,0.078861244,0.099712919,0.433492823,0.295502392,0.184795474
golden-sweep-27,2.796469399,0.182566948,0.017033493,0.138755981,0.076937799,0.06228541,0.098755981,0.422392344,0.284019139,0.019138756,0.138373206,0.081913876,0.066815751,0.097033493,0.415311005,0.286315789,0.178971444
zesty-sweep-2,2.585063631,0.181710944,0.02354067,0.150047847,0.090909091,0.076988684,0.09492823,0.427751196,0.299330144,0.024114833,0.167272727,0.099712919,0.081273183,0.09569378,0.448995215,0.302200957,0.186767525
efficient-sweep-3,2.928651105,0.177107997,0.018181818,0.136650718,0.082296651,0.065388851,0.09645933,0.408229665,0.280191388,0.017990431,0.140669856,0.081148325,0.066817802,0.101052632,0.400574163,0.275023923,0.178415584
icy-sweep-37,2.84240106,0.176674489,0.018564593,0.137799043,0.079425837,0.065542569,0.097607656,0.409186603,0.276937799,0.018755981,0.140287081,0.081722488,0.06498519,0.087655502,0.40937799,0.281913876,0.171438596
absurd-sweep-25,2.773521337,0.16844771,0.020861244,0.142009569,0.083636364,0.069168983,0.083444976,0.413205742,0.275598086,0.021244019,0.141626794,0.084210526,0.069049973,0.086124402,0.407655502,0.279043062,0.169331738
