Name,val_obj,AdamOptimizer-args-lr,DualEncoderModel-audio_enc-conv_dropout,DualEncoderModel-audio_enc-conv_fine_tune_from,DualEncoderModel-audio_enc-fc_dropout,DualEncoderModel-audio_enc-fc_units,DualEncoderModel-text_enc-fc_units,stop_metric,train_obj,id,sweep_num
efficient-sweep-3,2.928651105,0.000869391,0.484423103,conv_block4,0.425873036,512,2048,2.928651105,1.298764148,0udx7zzs,3
scarlet-sweep-59,2.914861372,0.0009639,0.370339677,conv_block4,0.348141482,1024,2048,2.914861372,0.776519286,sllvoyxg,59
icy-sweep-37,2.84240106,0.00083025,0.412079622,conv_block5,0.422239409,512,256,2.84240106,1.239655507,9qdswb4n,37
woven-sweep-53,2.817203724,0.000976999,0.263626749,conv_block6,0.472514222,1024,2048,2.817203724,0.997106096,xjiu8hqm,53
olive-sweep-13,2.815479976,0.000736007,0.434493528,conv_block5,0.396857178,512,512,2.815479976,1.191978513,sg9lq41r,13
golden-sweep-27,2.796469399,0.000688087,0.312942217,conv_block6,0.22788436,1024,256,2.796469399,1.194478667,8inzscmc,27
absurd-sweep-25,2.773521337,2.51e-05,0.356389076,conv_block6,0.210490429,2048,2048,2.773521337,1.98691541,23s8b5gx,25
autumn-sweep-14,2.70152951,0.000513603,0.25270682,conv_block6,0.149930994,2048,256,2.70152951,0.764137577,c5c23c2v,14
graceful-sweep-56,2.688596455,0.000611959,0.22619486,conv_block4,0.160237792,2048,512,2.688596455,0.870977222,r9yojh9d,56
dry-sweep-6,2.653614214,0.000118923,0.131090326,conv_block6,0.251180112,2048,512,2.653614214,1.092684031,u2lzpudi,6
zesty-sweep-2,2.585063631,6.28e-05,0.496253131,conv_block5,0.175868771,1024,2048,2.585063631,1.649341113,zb5a0x1a,2
pious-sweep-8,2.573489388,0.000176796,0.299761835,conv_block6,0.26856382,2048,512,2.573489388,1.239643408,qrosikn8,8
faithful-sweep-55,2.57239971,0.000190411,0.336382565,conv_block6,0.251692619,512,256,2.57239971,1.310970192,sgjcxfv0,55
lunar-sweep-34,2.566251459,0.000172414,0.355806712,conv_block6,0.292622102,2048,2048,2.566251459,1.293166648,07frtkj5,34
lilac-sweep-52,2.562606266,0.000323989,0.351391658,conv_block6,0.21885261,2048,1024,2.562606266,1.028124569,939fr8x7,52
confused-sweep-54,2.558079239,0.000149681,0.399681183,conv_block6,0.212507805,512,2048,2.558079239,1.237110149,3wasl1qa,54
blooming-sweep-17,2.540984161,0.000228586,0.310043153,conv_block6,0.155859665,2048,512,2.540984161,0.777586561,vambpon8,17
wise-sweep-7,2.535479322,0.000419396,0.282294885,conv_block6,0.195512311,2048,512,2.535479322,0.689700415,7euo5e5v,7
distinctive-sweep-38,2.530101516,0.000305579,0.2054139,conv_block6,0.211265428,2048,1024,2.530101516,1.067727593,02yuglut,38
sparkling-sweep-40,2.528388442,0.0003374,0.344572444,conv_block6,0.248550407,2048,2048,2.528388442,1.301728147,78qjwz0p,40
efficient-sweep-1,2.463930303,0.000380925,0.232168527,conv_block6,0.133515449,1024,256,2.463930303,0.839033322,v0aifl2t,1
breezy-sweep-32,2.462940104,0.0002584,0.195720374,conv_block6,0.131737032,1024,512,2.462940104,0.887941659,e3slmswe,32
decent-sweep-39,2.461852435,0.000362535,0.258289654,conv_block6,0.151424122,1024,512,2.461852435,0.844000079,pfbj6887,39
still-sweep-10,2.459266561,0.000486711,0.231692945,conv_block6,0.139471442,2048,512,2.459266561,0.748758174,j7e647tn,10
cool-sweep-30,2.451281721,0.000330661,0.357105832,conv_block6,0.208046553,2048,1024,2.451281721,0.934504444,b1t5tg5s,30
deft-sweep-47,2.449625532,0.000217324,0.266960923,conv_block6,0.290490487,2048,1024,2.449625532,1.100629643,gaialzmk,47
prime-sweep-21,2.43053851,0.000110219,0.296367933,conv_block6,0.289263178,2048,2048,2.43053851,1.226867848,hq1galvz,21
dashing-sweep-5,2.411877816,0.000265617,0.27856823,conv_block6,0.232173415,2048,512,2.411877816,0.850309635,6635vzj1,5
icy-sweep-15,2.40817536,0.000253431,0.349259949,conv_block6,0.275195164,2048,2048,2.40817536,1.050058559,ml50d57w,15
glowing-sweep-41,2.402164474,0.000204556,0.239693611,conv_block6,0.259848806,2048,2048,2.402164474,0.876790174,4ozb97hq,41
